4.475073918355290115e-01,2.840332317269651519e-01,4.059305776025322055e-01
5.272106324832405155e-01,4.894986833231733669e-01,6.047048544017664673e-01
1.808041282666669469e-01,1.814002815719522321e-01,5.212901776482810057e-01
3.399861151707208040e-01,3.745877284844243427e-01,6.148747282620662391e-01
1.661672261114908178e+00,1.525810431329248651e+00,1.661703849886400741e+00
5.320706101780600106e-01,4.776958700423118986e-01,6.428801622271745897e-01
1.282991593241991357e-01,1.126755797075070092e-01,4.517701940749894174e-01
1.385163242001818951e-01,1.864941141862798968e-01,5.000430871997548765e-01
2.895805571397136458e-01,3.049265251574463931e-01,5.371885178827270346e-01
4.044047939571083772e-01,2.730069215344824718e-01,5.592917759762965346e-01
7.204009757394055358e-01,6.106801676273333479e-01,7.319424380090118198e-01
4.257479791361635235e-01,4.134350566475836763e-01,5.341458023805102373e-01
4.337738936811706414e-01,3.589488306090478087e-01,5.084377684728674796e-01
4.059234261482159711e-01,3.408095903223977707e-01,4.758968438366715792e-01
5.960826148957456549e-01,5.086302923701366829e-01,5.410739009368736863e-01
1.063981749200815452e+00,8.133966566740326032e-01,8.953461033305700756e-01
3.036865901932725431e-01,2.021742928150461194e-01,3.089388613349549617e-01
4.095232599440437049e-01,2.956476463824760925e-01,5.257457556668213572e-01
2.986229205885033711e-01,2.766778493861296595e-01,5.250348318900911471e-01
4.362432146440463621e-01,2.422598029191001257e-01,4.597903609839839034e-01
1.208244761847981241e+00,1.220922293569706607e+00,9.030115014747679414e-01
2.980030655640739101e-01,2.390103370290534712e-01,2.138633587044792561e-01
3.882131365468021733e-01,3.078488370875577806e-01,4.013107389459460994e-01
5.439489307307289190e-01,3.210982716044987750e-01,4.140240698241993700e-01
5.460889031764503132e-01,3.985360820500058465e-01,4.141498855603663043e-01
3.761964360151384690e-01,4.365674996946836695e-01,5.063378463344080371e-01
3.183732943092294487e-01,2.409040598413577650e-01,5.031016818971303373e-01
8.518573189758118502e-01,6.257251968871050396e-01,4.761296196010234572e-01
1.065095367713178698e+00,8.814679016970448089e-01,8.530029445125476562e-01
5.182511809235362810e-01,3.410386618227460032e-01,4.234239829772072361e-01
